"","Cyp79A2_rep1","Cyp79A2_rep2","Cyp79A2_rep3","WT-PAOx_rep1","WT-PAOx_rep2","WT-PAOx_rep3","WT_rep1","WT_rep2","WT_rep3"
"AT3G44220",2.420265,3.236778,4.276347,2.580142,2.496048,3.27012,3.969053,4.600411,3.350874
"AT3G44260",14.89161,20.45995,16.72915,12.64146,14.04791,16.14622,16.53362,10.38918,12.34978
"AT3G44280",22.46487,19.90993,15.98745,10.64393,11.46713,10.35863,16.24159,21.67105,17.4073
"AT3G44300",3.023206,3.914775,2.789543,0.572962,0.6298722,0.1510719,4.478039,2.484961,1.377991
"AT3G44310",640.4338,707.3123,761.884,1479.647,1399.683,1363.192,757.5453,837.3874,789.5174
"AT3G44320",2.80173,1.827773,2.777027,7.794832,6.278642,7.056654,2.241281,2.176536,3.433996
"AT3G44330",23.68085,26.81053,25.12122,25.39278,19.86506,19.46857,22.17318,23.33496,18.7472
"AT3G44340",19.20557,20.21937,19.05465,18.73232,18.17128,18.00157,19.22933,20.43018,19.82537
"AT3G44370",6.213029,7.706008,5.53314,6.623446,5.731111,4.448793,7.792759,6.84692,7.656482
"AT3G44380",10.68315,11.64438,11.61598,18.54338,12.58427,17.71259,11.73767,14.63524,16.29386
"AT3G44400",4.563517,3.442893,2.760285,2.404844,2.285136,3.102997,4.279605,2.903858,3.456938
"AT3G44430",18.87694,22.67803,20.74701,18.55492,19.19803,15.56262,21.66465,20.11837,22.96883
"AT3G44440",0.424891,0,1.501473,0.4529583,2.390155,2.460376,0.8990829,1.309666,0.8715029
"AT3G44450",57.39309,75.18905,63.30717,38.45872,23.52232,28.48634,48.40474,66.38189,71.13661
"AT3G44480",41.7749,36.25343,33.77017,33.87091,33.31745,32.87211,31.98098,32.65458,35.48987
"AT3G44530",4.805051,5.163834,5.328362,4.001922,3.378753,4.130147,5.057341,4.422696,5.851846
"AT3G44550",0.9725962,1.530254,0.5559763,0.4879263,0.4291122,0.6625788,0.4842457,1.058079,0.3520434
"AT3G44570",0,1.089541,0.5496173,0.2210751,0.4860673,0,0.2194074,0.1065347,0.1063385
"AT3G44590",12.01994,24.70003,19.50927,22.64791,26.732,22.1218,21.7377,20.39174,22.79095
"AT3G44600",14.84008,15.16961,14.84197,10.95913,11.96328,10.11431,16.54745,15.90505,15.2194
"AT3G44610",4.715719,5.967318,9.306054,4.504918,5.741885,5.378625,7.775541,7.425079,7.285787
"AT3G44620",34.92646,36.8563,36.76562,33.17026,39.52799,38.28698,37.11735,41.08026,39.24954
"AT3G44630",25.21866,15.59279,17.29656,23.97336,23.88052,26.64672,18.64587,20.67951,21.31288
