"","SRR9313209","SRR9313210","SRR9313211","SRR9313212","SRR9313213","SRR9313214","SRR9313223","SRR9313224","SRR9313225","SRR9313226","SRR9313227","SRR9313228"
"AT1G01010",14.3061282034018,15.5594779490063,13.4410812248802,11.2936128003862,11.4056530320694,8.06591556153321,12.7901398992303,12.3020263557929,12.6433034599876,10.8336302580813,10.6526314691758,10.365191282107
"AT1G01020",9.33037235943988,9.50236654684293,8.55110867365088,7.71966233265334,8.45799584189496,8.53775410752018,6.5446455424993,6.78513255381013,7.88477686448603,6.90735428506495,8.49420967535852,7.52240393049176
"AT1G01030",2.17218905060976,2.22051625040482,1.48874967897623,2.7366488473351,2.32495255526851,2.41056743129565,1.540768095956,1.10936257923328,0.908359065352592,1.17545671705874,0.764544345376062,0.985905110843415
"AT1G01040",12.8875520491772,13.8203710882635,11.948688470499,15.0793976813839,15.7970240670156,11.8771557908258,13.0368263102555,13.3330470929649,14.1919302846207,16.7587317561417,13.3908340632604,16.066674789636
"AT1G01050",61.5083737682295,63.8471429544885,72.104572620231,58.5174636616596,61.956845084041,70.8234174715709,63.3546160111742,59.4046166776666,71.0667651449715,68.6380610922886,78.1720682517412,69.4785578086443
"AT1G01060",30.1168451019766,30.6892771505981,26.9408322251376,30.7970562278676,22.7508372703181,24.612534502592,156.166899155575,162.132642961226,173.787044320458,138.577617642476,142.36501476738,166.492186462025
"AT1G01070",4.1316310212756,4.61542816720788,4.13924940816239,4.29300344141913,3.80254907368019,4.38933267480749,4.13846768578158,3.51694549013153,3.38128831395904,4.76161302884397,4.55867170814549,4.5675498665154
"AT1G01080",37.6081718544531,42.7430701338311,38.216025649166,38.7876270655073,38.5620970766556,32.5423724133308,46.5264568683273,43.4746921251181,41.7771305766031,44.0866659963668,46.5259444251035,39.1063002830622
"AT1G01090",140.94679141228,157.664312908816,141.436539429841,154.569232697193,170.610304569853,157.958332002848,142.398412447886,128.677358249958,132.901598915964,139.771219834813,139.613565447316,152.710125354378
"AT1G01100",211.571776953012,197.03134208401,256.049443879627,196.646744531279,193.6895605446,232.673663693469,228.62668860268,179.640978394749,224.691778672987,174.420003582805,213.510289957649,188.237110483731
"AT1G01110",6.80677736800571,6.65123550899579,7.44711521033247,6.38964045440827,5.17621660090377,6.39808970611313,3.20667330901557,4.04568295974704,3.73943602268328,4.43574563406552,4.05529724149415,4.67281009308515
"AT1G01120",182.747676896652,182.258671189001,180.256360612735,175.084290235102,179.920160505884,174.788019006006,229.097638476982,220.54134170975,196.142059081971,247.101758630281,236.902134521152,202.931315572099
"AT1G01130",4.94091957183473,5.55593051071439,6.50756720140402,3.11242749502887,4.09761025863242,6.23025954348203,6.78348833712893,5.14551304141766,6.15261873598822,5.8054501192512,6.57272892609452,7.11719710543594
"AT1G01140",62.0871264299092,60.139685588896,45.7473968464254,55.6572052054811,49.4038867376208,56.5880946051372,59.5324389912965,69.0611477125581,56.5150199689164,70.1084988039123,73.9353244851961,74.9626672279732
"AT1G01160",36.0230513683243,27.9623989403475,37.2039513711598,41.5849619540693,39.008098069575,40.4574470550497,27.2959090756982,31.2422170592989,33.8818129362364,30.7481338051012,27.6425004867156,31.1545426912609
"AT1G01170",77.8314757796297,104.694718802959,107.961410734392,96.2435104045335,97.4089246234007,102.464512913811,79.5375406220495,73.596537086851,77.421074658711,75.9700719488698,80.0561863902068,88.4851096441739
"AT1G01180",21.3749390490725,18.6292892626961,26.9204379539604,23.422604873304,25.0566653720395,24.936383640784,24.0159802621078,22.1115796696003,23.3592528142091,21.632918173959,20.577885088654,20.8459098893154
"AT1G01200",11.4466313909613,6.10782029390237,8.52983123154253,8.47835391975787,7.36362212525295,6.80935558293694,4.38381472515382,5.14626158855781,3.30401734883533,5.19399450587648,5.98965935625282,5.28474835985781
"AT1G01210",7.61992466435551,7.68696111835115,7.70903450499774,8.33685936168447,5.57591159143545,7.84711373311384,9.74152296166118,8.87517468588679,7.02282475445084,11.4102944713947,13.0950177836889,10.5108317642058
"AT1G01220",6.88958915381825,8.13326335315765,6.62911973682249,6.82936384101748,7.19115450342068,6.36389370813457,5.94641095847721,6.17850745903117,7.43056746763866,6.74492617195805,6.61362662036723,7.19264996263148
"AT1G01225",3.19352118667367,2.27904023166777,2.05908520545414,1.59417018038064,1.49912570437772,2.20076451493898,1.20906452537945,1.43428934952409,2.11027319450816,2.12394516557971,2.131400455524,2.41097462921272
"AT1G01230",42.0156321763591,52.3600313099996,46.2953877698636,40.7757929036234,44.2164709929138,40.766007353582,29.0850842857206,31.2538674176081,34.663942698251,27.5120919112866,34.4723545074887,33.2668133934639
"AT1G01240",17.2779451797157,20.1018983632002,16.2763935913808,14.9528008197549,19.6982582439485,15.772388654021,10.7533600239828,11.9293192614011,12.9269182291097,10.9597258820044,14.4878017462565,12.5281247347962
"AT1G01260",13.0292642613134,12.3711597674077,11.5371861907044,15.0422312306669,13.9789963115772,12.1571350598001,6.0231077144466,6.22563481322318,7.52405338807681,6.86455250587135,6.72883796692723,5.86272284085585
"AT1G01290",9.96640255932434,9.87940522020785,9.72931394513751,10.5269552602851,10.6079368122226,9.65188593807287,8.23961422681168,9.88484866496581,8.579255190387,9.58112183495003,9.81563068953046,10.8759124471821
"AT1G01300",81.0831477485502,65.1800300035785,90.0999871927266,83.8749670724026,86.1220468253925,83.1282974025291,66.6578109628793,62.2058798865913,62.3266060809386,48.4432357645687,50.8831440195266,51.7850091256449
"AT1G01320",103.812954813718,100.462314058346,80.244073007625,87.5898229498378,82.2848735688623,60.4724737016676,190.945750261851,231.826505395458,198.737353119253,128.034916472735,113.887353628366,118.070333622513
"AT1G01340",5.89596911431955,6.4007268300771,5.43771607665696,5.80127018304198,6.06155363703021,5.91118279477483,5.3518645657822,7.19487418090593,8.02070304894914,4.46573086096246,5.19295083926914,5.3421871764449
"AT1G01350",13.102259936026,13.709438922542,14.6985591228624,13.783607477985,12.9772005564882,13.8109201702804,14.4894565442795,15.4562285874217,15.3987137449259,12.9289743727202,13.2841680405644,13.6977801433985
"AT1G01360",13.15519836001,16.9834694020701,16.1589928818647,14.0837344150056,16.0891461625714,16.5155587036269,23.5465316317649,24.0277082201914,31.2197333517527,30.9140218850127,32.7702820036815,31.3354372558777
"AT1G01370",3.61105513062518,3.62774971488637,3.72327024927758,1.80407843713871,2.91575682540258,1.86790838996567,3.74785626566716,3.61238134748144,3.5614405643203,2.44541209660279,3.83991448898942,3.03923767523236
"AT1G01380",7.50271677941454,4.66847554117326,7.54767560592991,5.34263522474146,4.1375000022438,3.54593754371928,2.98569028922928,1.69856284377784,2.03101410739048,2.95674962059449,4.53663468210349,2.69749010011388
"AT1G01390",13.8020648976118,14.5956572935995,14.4264504637095,21.0324086801002,22.1282955753581,21.1079761938586,12.3724195652345,11.9825225369621,12.7362763734937,25.7727769075912,28.8223212998298,33.0769426827586
"AT1G01420",2.15352580022402,1.45377966413729,2.2129662647022,1.84288470100394,0.891991397244867,1.37806330646438,4.29117430233359,4.20128238226653,4.69605202659463,5.1561563559139,5.93344062369851,7.02354977510125
"AT1G01430",53.5617347007663,55.5223927130964,50.5307441034721,51.2261589848692,54.7725452372366,49.8984676675933,53.4279947849622,50.9224037290115,45.754715497248,55.193193125211,54.4823806280431,44.4283010540307
"AT1G01440",16.0173889766817,15.0661207619348,14.2244394240748,14.6092105518577,15.2614466885659,14.7996353017862,12.8630896151356,15.47261431056,14.1540010599684,14.395066707219,14.754742009762,15.6664501795578
"AT1G01448",14.0152041462261,16.7699892206258,15.3655913690461,16.3399307225921,15.5201469714899,13.5084641730003,8.20252519604466,9.35137072434761,11.7698127081848,9.52699535893702,9.43786650512363,10.0005400682096
"AT1G01470",206.183146506927,201.478035276625,238.418063012887,209.350350078283,229.887572868295,327.01991971284,175.759888536075,205.570273183971,266.882796679596,213.811453841748,241.94661468289,204.362434079746
"AT1G01480",1.52382338255225,2.7975480920012,2.39112047083515,1.68472283844715,1.7750000009626,2.23111961461813,2.29899771283129,2.79908951055395,1.23435751642513,2.09843093434307,2.25649853271578,2.11536923031377
"AT1G01490",74.4522127262768,62.5950296875707,81.3709419302734,89.4689667342417,84.3522458307818,95.3934918439527,83.8777618082164,85.6300597110923,67.9650701150775,95.3788022588574,84.122284618981,91.4023600869341
